Timestamp,What's your name?,What's your email?,Briefly introduce yourself,Would you feel interested in having group sessions?,Are you an elderly (60+) or a youth (14+),What would you like to teach,What would you like to learn,Would you like to be tutored in a school subject?,"If yes, what would you like to be tutored in?",What would you like to teach,What would you like to learn?,Would you like to tutor a subject in school?,"If yes, what would you like to tutor?"
2025/09/07 5:00:49 PM MDT,James,potatogonehaywire@gmail.com ,I like potatoes,Yes,Elderly,,,,,Handicrafts;History;Philosophy,Social media;Technology,Yes,Physics;Math
2025/09/07 5:07:59 PM MDT,Mary,potatogonehaywire@gmail.com ,I like drinking tea,Yes,Elderly,,,,,Cultural Customs;History;Philosophy,Modern trends,Yes,English;Social Studies
2025/09/07 5:09:13 PM MDT,Michael,potatogonehaywire@gmail.com ,I like going to michaels,Yes,Elderly,,,,,Cooking;Baking,Apps;Social media,Yes,Chemistry
2025/09/07 5:09:58 PM MDT,Patricia,potatogonehaywire@gmail.com ,I am patrick star,Yes,Elderly,,,,,Gardening;Cultural Customs;Emotional Regulation,Social media;Technology,Yes,Physics;Math
2025/09/07 5:10:43 PM MDT,John,potatogonehaywire@gmail.com ,I like LEDs ,Yes,Elderly,,,,,Gardening;Baking;Emotional Regulation,Apps;Social media,Yes,Physics;English
2025/09/07 5:11:36 PM MDT,Jennifer,potatogonehaywire@gmail.com ,I like driving,Yes,Youth,Social Media;Technology,Handicrafts;Cooking;Cultural Customs;History,Yes,Physics;English,,,,
2025/09/07 5:13:00 PM MDT,Robert,potatogonehaywire@gmail.com ,I like wearing robes,Yes,Youth,Modern Trends;Technology,Handicrafts;Life lessons;Philosophy;Emotional Regulation,Yes,Math;English;Social Studies,,,,
2025/09/07 5:13:51 PM MDT,Linda,potatogonehaywire@gmail.com ,I like flowers,Yes,Youth,Social Media;Modern Trends,Gardening;Life lessons;Philosophy,Yes,Physics;Biology;Chemistry,,,,
2025/09/07 5:14:19 PM MDT,David,potatogonehaywire@gmail.com ,I like rocks,Yes,Youth,Apps;Technology,Gardening;Cooking;Philosophy;History;Emotional Regulation,Yes,Physics,,,,
2025/09/07 5:14:55 PM MDT,Elizabeth,potatogonehaywire@gmail.com ,I love coffee,Yes,Youth,Apps;Modern Trends,Cooking;Baking;Emotional Regulation,Yes,Math;Chemistry,,,,
